url_length,dot_count,has_at,is_https,subdomain_count,is_ip_address,suspicious_tld,form_action_mismatch,has_password_field,external_script_count,label
24,2,0,1,1,0,0,0,0,0,0
26,2,0,1,1,0,0,0,0,0,0
92,1,0,1,0,0,0,0,0,0,1
24,2,0,1,1,0,0,0,0,0,0
26,2,0,1,1,0,1,0,0,0,0
17,2,0,1,1,0,0,0,0,0,0
24,2,0,1,1,0,0,0,0,0,0
24,2,0,1,1,0,0,0,0,0,0
28,2,0,1,1,0,0,0,0,0,0
24,2,0,1,1,0,0,0,0,0,0
253,3,0,0,0,1,0,0,0,0,1
62,3,0,1,1,0,0,0,0,0,1
35,2,0,1,1,0,0,0,0,0,1
44,2,0,1,1,0,0,0,0,0,1
92,1,0,1,0,0,0,0,0,0,1
24,2,0,1,1,0,0,0,0,0,0
25,2,0,1,1,0,1,0,0,0,1
26,1,0,1,0,0,0,0,0,0,1
25,2,0,1,1,0,0,0,0,0,0
29,2,0,1,1,0,0,0,0,0,0
28,2,0,1,1,0,0,0,0,0,0
42,2,0,1,1,0,0,0,0,0,1
25,2,0,1,1,0,0,0,0,0,0
80,1,0,1,0,0,0,0,0,0,1
27,2,0,1,1,0,0,0,0,0,1
43,2,0,1,1,0,0,0,0,0,1
22,2,0,1,1,0,0,0,0,0,0
22,3,0,1,1,0,0,0,0,0,0
25,2,0,1,1,0,0,0,0,0,0
36,1,0,1,0,0,0,0,0,0,1
25,2,0,1,1,0,0,0,0,0,0
23,2,0,1,1,0,0,0,0,0,0
85,3,0,1,2,0,0,0,0,0,1
30,2,0,1,1,0,0,0,0,0,1
21,1,0,1,0,0,1,0,0,0,1
84,3,0,1,2,0,0,0,0,0,1
25,2,0,1,1,0,0,0,0,0,0
110,1,0,1,0,0,0,0,0,0,1
28,2,0,1,1,0,0,0,0,0,0
38,2,0,1,1,0,0,0,0,0,1
67,1,0,1,0,0,0,0,0,0,1
18,2,0,1,1,0,0,0,0,0,0
72,2,0,1,1,0,0,0,0,0,1
99,3,0,1,2,0,0,0,0,0,1
58,2,0,1,1,0,0,0,0,0,1
30,2,0,1,1,0,0,0,0,0,0
25,2,0,1,1,0,1,0,0,0,0
32,2,0,1,1,0,0,0,0,0,0
86,4,0,0,3,0,0,0,0,0,1
31,2,0,1,1,0,0,0,0,0,0
25,1,0,1,0,0,0,0,0,0,1
92,1,0,1,0,0,0,0,0,0,1
21,2,0,1,1,0,0,0,0,0,1
24,2,0,1,1,0,0,0,0,0,0
23,3,0,1,1,0,0,0,0,0,0
